Time Step #,Time(s),"Position (North, metres)","Position (East, metres)",Altitude (metres),"Velocity (North, m/s)","Velocity (East, m/s)","Velocity (Up, m/s)","Acceleration (North, m/s2)","Acceleration (East, m/s2)","Acceleration (Up, m/s2)"
258,12.9,-921.189,916.345,3873.263,-146.767,145.647,-549.214,-11.709,11.542,-33.331
259,12.95,-928.556,923.657,3900.723,-147.351,146.223,-550.879,-11.696,11.527,-33.295
260,13.0,-935.953,930.997,3928.267,-147.936,146.799,-552.542,-11.685,11.516,-33.257
261,13.05,-943.379,938.365,3955.894,-148.52,147.374,-554.202,-11.679,11.509,-33.217
262,13.1,-950.834,945.763,3983.604,-149.104,147.95,-555.861,-11.678,11.507,-33.175
263,13.15,-958.319,953.189,4011.398,-149.688,148.525,-557.518,-11.681,11.51,-33.131
264,13.2,-965.832,960.644,4039.273,-150.272,149.101,-559.172,-11.688,11.517,-33.085
265,13.25,-973.375,968.128,4067.232,-150.857,149.677,-560.824,-11.697,11.526,-33.039
266,13.3,-980.947,975.641,4095.273,-151.442,150.254,-562.474,-11.706,11.534,-32.995
267,13.35,-988.549,983.182,4123.397,-152.028,150.831,-564.121,-11.712,11.54,-32.951
268,13.4,-996.179,990.753,4151.603,-152.614,151.408,-565.767,-11.715,11.543,-32.91
269,13.45,-1003.839,998.352,4179.891,-153.199,151.985,-567.41,-11.715,11.542,-32.872
270,13.5,-1011.528,1005.98,4208.262,-153.785,152.562,-569.052,-11.711,11.537,-32.836
271,13.55,-1019.247,1013.637,4236.714,-154.37,153.139,-570.692,-11.704,11.529,-32.802
272,13.6,-1026.995,1021.323,4265.249,-154.955,153.715,-572.331,-11.696,11.52,-32.77
273,13.65,-1034.772,1029.037,4293.866,-155.539,154.29,-573.968,-11.688,11.512,-32.738
274,13.7,-1042.578,1036.781,4322.564,-156.123,154.866,-575.603,-11.682,11.505,-32.706
275,13.75,-1050.413,1044.553,4351.344,-156.707,155.441,-577.237,-11.678,11.501,-32.672
276,13.8,-1058.278,1052.353,4380.206,-157.291,156.016,-578.868,-11.678,11.5,-32.638
277,13.85,-1066.171,1060.183,4409.149,-157.875,156.591,-580.5,-11.688,11.509,-32.626
278,13.9,-1074.095,1068.041,4438.174,-158.461,157.167,-582.131,-11.704,11.525,-32.628
279,13.95,-1082.047,1075.928,4467.281,-159.047,157.745,-583.764,-11.731,11.551,-32.667
280,14.0,-1090.029,1083.845,4496.469,-159.635,158.324,-585.4,-11.759,11.579,-32.707
